LABELS
SEPARATOR COMMA
DATA
GCF_023913515.1,Natronococcus sp023913515
GCF_023973145.1,Tc-Br11 sp023973145
GCF_024138125.1,Halorussus sp024138125
GCF_024138145.1,Tc-Br11 sp024138145
GCF_024178165.1,Halohasta sp024178165
GCF_024204665.1,Tc-Br11 sp024204665
GCF_024218775.1,Halomicroarcula sp024218775
GCF_024218795.1,Halorussus sp024218795
GCF_024227715.1,Halomarina sp024227715
GCF_024228315.1,Halomarina sp024228315
GCF_024296665.1,AD-4 sp024296665
GCF_024298825.1,Haloglomus sp024298825
GCF_024298845.1,Tc-Br11 sp024298845
GCF_024298865.1,Halosegnis sp024298865
GCF_024298885.1,Haloglomus sp024298885
GCF_024298905.1,Natronomonas sp024298905
GCF_024300625.1,Halovivax sp024300625
GCF_024300825.1,Natronomonas gomsonensis
GCF_024362405.1,Halosegnis sp024362405
GCF_024362485.1,WLHSJ27 sp024362485
GCF_024362525.1,Natronobiforma sp024362525
GCF_024449025.1,Natronomonas sp024449025
GCF_024464185.1,Haloarchaeobius salinus
GCF_024464595.1,Halobellus litoreus
GCF_024464655.1,Halobellus inordinatus
GCF_024494595.1,Halobellus rarus
GCF_024494645.1,Halohasta litorea
GCF_024494695.1,Natronoarchaeum rubrum
GCF_024494725.1,Haloplanus ruber
GCF_024495425.1,Haloarchaeobius litoreus
GCF_024498175.1,Haloplanus salinarum
GCF_024498195.1,Halovivax cerinus
GCF_024508235.1,Halococcus qingdaonensis
GCF_024609245.1,Haloarchaeobius sp024609245
GCF_024972735.1,Halalkaliarchaeum sp024972735
GCF_024972755.1,Halanaeroarchaeum sp024972755
GCF_900100335.1,Natronorubrum texcoconense
GCF_900100385.1,Halovenus aranensis
GCF_900100875.1,Halopelagius longus
GCF_900103505.1,Haloarchaeobius iranensis
GCF_900103715.1,Halogranum gelatinilyticum
GCF_900104065.1,Natronobacterium texcoconense
GCF_900107195.1,Halobellus clavatus
GCF_900107205.1,Halopenitus persicus
GCF_900107665.1,Haloplanus vescus
GCF_900108095.1,Natronorubrum sediminis
GCF_900108505.1,Halopenitus malekzadehii
GCF_900109065.1,Halohasta litchfieldiae
GCF_900110215.1,Halorientalis persica
GCF_900110455.1,Natrinema salifodinae
GCF_900110465.1,Halogranum amylolyticum
GCF_900110535.1,Halobacterium jilantaiense
GCF_900110865.1,Natrinema salaciae
GCF_900111485.1,Natrinema hispanicum_A
GCF_900111935.1,Halorubrum sodomense
GCF_900112175.1,Halogeometricum rufum
GCF_900112205.1,Halobiforma haloterrestris
GCF_900113245.1,Halopelagius inordinatus
GCF_900114435.1,Halomicrobium zhouii
GCF_900115675.1,Halolamina pelagica
GCF_900115785.1,Halogeometricum limi
GCF_900116205.1,Halostagnicola kamekurae
GCF_900129775.1,Halobaculum gomorrense
GCF_900156425.1,Haladaptatus litoreus
GCF_900156475.1,Natronorubrum thiooxidans
GCF_900215575.1,Natronoarchaeum philippinense
GCF_900880625.1,Halorhabdus rudnickae
